股票代码,股票名称,所属行业,得分,5日均成交量,成交量
002552,宝鼎科技,通用设备,28.636,26422.8,17046.0
002553,南方精工,汽车零部件,96.597,69977.8,35567.0
002554,惠博普,采掘行业,26.087,424614.4,181830.0
002555,三七互娱,游戏,4.959,958830.4,1918725.0
002556,辉隆股份,化肥行业,92.955,68789.8,64421.0
002557,洽洽食品,食品饮料,85.635,76749.6,61462.0
002558,巨人网络,游戏,4.126,1250834.0,861032.0
002559,亚威股份,通用设备,41.994,273658.4,156102.0
002560,通达股份,电网设备,58.042,199892.6,174555.0
002561,徐家汇,商业百货,77.941,113443.6,65832.0
002562,兄弟科技,化学制品,98.438,83589.2,88219.0
002563,森马服饰,纺织服装,31.117,244893.4,303004.0
002564,天沃科技,专业服务,69.773,232668.8,130760.0
002565,顺灏股份,包装材料,87.239,169061.0,92322.0
002566,益盛药业,中药,66.895,71818.6,69196.0
002567,唐人神,农牧饲渔,85.742,512703.2,441975.0
002568,百润股份,酿酒行业,56.592,97650.2,75666.0
002570,贝因美,食品饮料,74.672,98511.6,86342.0
002571,德力股份,家用轻工,88.889,31293.6,17378.0
002572,索菲亚,装修建材,64.836,150199.0,167103.0
002573,清新环境,环保行业,80.415,72907.8,51490.0
002574,明牌珠宝,珠宝首饰,35.459,85728.4,71861.0
002575,群兴玩具,房地产服务,63.636,56566.0,32271.0
002576,通达动力,电机,71.03,90885.0,43777.0
002577,雷柏科技,计算机设备,5.529,159122.2,232260.0
002578,闽发铝业,有色金属,88.028,104400.8,88147.0
002579,中京电子,电子元件,68.139,205659.4,115741.0
002580,圣阳股份,电池,59.127,114100.4,69899.0
002581,未名医药,生物制品,3.338,113617.2,152703.0
002582,好想你,食品饮料,48.315,300124.2,165707.0
002583,海能达,通信设备,40.794,229909.2,198994.0
002584,西陇科学,电子化学品,89.394,62779.0,39465.0
002585,双星新材,塑料制品,97.239,209868.6,92406.0
002587,奥拓电子,光学光电子,36.165,147581.2,396631.0
002588,史丹利,化肥行业,59.766,159546.8,94547.0
002589,瑞康医药,医药商业,87.834,186141.6,131532.0
002590,万安科技,汽车零部件,54.7,65503.2,45716.0
002591,恒大高新,综合行业,75.12,89471.8,51023.0
002593,日上集团,汽车零部件,74.576,82595.4,55063.0
002594,比亚迪,汽车整车,72.803,236292.2,102440.0
002595,豪迈科技,专用设备,27.077,45751.2,41299.0
002596,海南瑞泽,水泥建材,82.199,329463.6,488305.0
002597,金禾实业,食品饮料,99.862,124406.6,72381.0
002598,山东章鼓,通用设备,56.992,60662.0,47087.0
002599,盛通股份,包装材料,29.764,710641.8,588482.0
002600,领益智造,消费电子,48.63,623645.4,538115.0
002601,龙佰集团,化学原料,84.943,201955.0,198670.0
002602,世纪华通,游戏,40.156,4141330.4,5427421.0
002603,以岭药业,中药,57.886,758119.2,451307.0
002605,姚记科技,互联网服务,19.963,293658.4,194631.0
002606,大连电瓷,电网设备,86.63,105869.2,62241.0
002607,中公教育,教育,76.109,3496121.0,4709608.0
002608,江苏国信,电力行业,7.407,133387.6,374862.0
002609,捷顺科技,互联网服务,19.123,111850.4,61433.0
002610,爱康科技,光伏设备,90.716,923050.0,603523.0
002611,东方精工,专用设备,38.164,314201.0,221295.0
002612,朗姿股份,纺织服装,60.092,124848.4,96543.0
002613,北玻股份,玻璃玻纤,77.073,108049.6,68401.0
002614,奥佳华,家电行业,81.421,77410.8,67591.0
002615,哈尔斯,家用轻工,44.858,135187.6,73378.0
002616,长青集团,电力行业,57.915,61484.2,52979.0
002617,露笑科技,光伏设备,96.319,415033.6,264598.0
002620,瑞和股份,装修装饰,65.578,51983.4,55801.0
002621,美吉姆,教育,82.716,213822.0,775571.0
002622,皓宸医疗,电网设备,77.023,138220.2,101155.0
002623,亚玛顿,光伏设备,69.435,31893.6,20784.0
002624,完美世界,游戏,5.998,1685588.4,1532382.0
002625,光启技术,专用设备,38.178,361601.8,242179.0
002626,金达威,食品饮料,77.655,65692.0,46506.0
002627,三峡旅游,铁路公路,67.725,73776.8,48206.0
002628,成都路桥,工程建设,71.859,151787.6,114344.0
002629,仁智股份,采掘行业,72.932,107436.8,55779.0
002630,华西能源,电源设备,87.931,257597.0,137546.0
002631,德尔未来,装修建材,81.04,38149.8,31440.0
002632,道明光学,塑料制品,62.227,109965.4,71423.0
002633,申科股份,通用设备,37.416,24006.4,16570.0
002634,棒杰股份,纺织服装,48.178,72933.2,48592.0
002635,安洁科技,消费电子,82.199,98348.4,79559.0
002636,金安国纪,电子元件,87.838,69083.4,61630.0
002637,赞宇科技,化学制品,97.918,23930.8,29699.0
002638,勤上股份,光学光电子,10.256,618493.6,778846.0
002639,雪人股份,通用设备,95.378,125120.8,82453.0
002640,跨境通,贸易行业,54.306,466257.0,597136.0
002641,公元股份,装修建材,59.021,258351.6,185312.0
002642,荣联科技,互联网服务,57.344,233445.6,236286.0
002643,万润股份,电子化学品,67.44,72422.6,76326.0
002644,佛慈制药,中药,22.007,168290.2,90928.0
002645,华宏科技,环保行业,99.874,75957.6,43338.0
002646,天佑德酒,酿酒行业,84.112,61173.4,46877.0
002647,仁东控股,多元金融,92.318,109376.0,73256.0
002648,卫星化学,化学原料,92.407,219455.0,129444.0
002649,博彦科技,互联网服务,39.111,294785.2,240545.0
002650,加加食品,食品饮料,88.319,87278.6,67459.0
002651,利君股份,专用设备,81.352,69065.4,51566.0
002652,扬子新材,装修建材,79.188,145635.4,102708.0
002653,海思科,化学制药,26.528,48158.0,31999.0
002654,万润科技,文化传媒,37.636,554148.8,337625.0
002655,共达电声,消费电子,70.99,62390.8,41818.0
002657,中科金财,互联网服务,50.646,131689.2,116680.0
002658,雪迪龙,仪器仪表,62.014,64027.8,45767.0
002659,凯文教育,教育,34.061,173481.0,260928.0
002660,茂硕电源,消费电子,57.058,146209.4,64708.0
002661,克明食品,食品饮料,45.977,70005.4,34422.0
002662,京威股份,汽车零部件,95.946,271201.8,163423.0
002663,普邦股份,工程建设,67.273,210797.0,196755.0
002664,信质集团,汽车零部件,81.68,32923.8,23070.0
002665,首航高科,电源设备,66.295,1051689.4,682623.0
002666,德联集团,化学制品,84.137,54924.2,35994.0
002667,鞍重股份,专用设备,82.557,51810.6,26584.0
002668,奥马电器,家电行业,25.705,584387.8,337229.0
002669,康达新材,化学制品,81.789,73131.2,150560.0
002670,国盛金控,证券,71.751,139436.0,158634.0
002671,龙泉股份,水泥建材,63.866,56151.2,68135.0
002672,东江环保,环保行业,58.468,107563.0,63527.0
002673,西部证券,证券,61.265,487452.8,606753.0
002674,兴业科技,纺织服装,38.939,54503.6,25527.0
002675,东诚药业,化学制药,39.152,95956.6,168882.0
002676,顺威股份,家电行业,57.328,107437.2,85333.0
002677,浙江美大,家电行业,87.657,72598.8,44141.0
002678,珠江钢琴,家用轻工,67.774,36187.8,28090.0
002679,福建金森,农牧饲渔,60.828,23665.2,11523.0
002681,奋达科技,消费电子,59.078,954413.2,897141.0
002682,龙洲股份,物流行业,84.977,87187.2,51205.0
002683,广东宏大,采掘行业,37.583,87584.6,66386.0
002685,华东重机,通用设备,59.718,165337.0,87262.0
