s0068,000301,东方盛虹,化纤行业,11.3,2.55,41.3,22.5806452,0.816623
s0069,000333,美的集团,家电行业,58.28,16.31,108.0,45.773803,1.2072094
s0070,000338,潍柴动力,汽车零部件,12.17,6.56,135.0,4.3677982,1.0695335
s0071,000400,许继电气,电网设备,21.54,7.32,40.61,42.7155302,1.1369962
s0072,000401,冀东水泥,水泥建材,7.42,6.9,30.35,2.217484,0.9779635
s0073,000402,金 融 街,房地产开发,4.51,4.46,15.55,0.4508566,1.0153091
s0074,000403,派林生物,生物制品,20.19,13.18,79.5,10.5699638,0.6863163
s0075,000404,长虹华意,家电行业,6.72,3.26,14.75,30.1131419,1.298568
s0076,000406,石油大明,,0.0,None,None,None,None
s0077,000407,胜利股份,燃气,3.53,3.53,5.36,0.0,0.9533464
s0078,000408,藏格矿业,化肥行业,22.81,3.55,41.77,50.3924647,0.9330806
s0079,000409,云鼎科技,互联网服务,10.05,2.93,14.99,59.0381426,0.7909781
s0080,000410,沈阳机床,通用设备,8.12,7.11,9.26,46.9767442,0.8491261
s0081,000411,英特集团,医药商业,11.75,9.32,16.89,32.1003963,0.9510793
s0082,000413,东旭光电,光学光电子,1.62,1.62,1.95,0.0,1.2374283
s0083,000415,渤海租赁,多元金融,2.1,2.02,2.52,16.0,1.1122251
s0084,000416,民生控股,多元金融,0.0,2.53,5.36,-89.3992933,0.0
s0085,000417,合肥百货,商业百货,4.62,3.99,23.11,3.2949791,1.0500865
s0086,000418,小天鹅A,,0.0,None,None,None,None
s0087,000419,通程控股,商业百货,5.41,3.68,15.98,14.0650407,0.7454032
s0088,000420,吉林化纤,化纤行业,3.31,1.63,13.1,14.646905,0.8637396
s0089,000421,南京公用,燃气,5.03,4.45,6.28,31.6939891,1.3525858
s0090,000422,湖北宜化,化学原料,11.28,11.07,20.16,2.310231,0.9679441
s0091,000423,东阿阿胶,中药,47.2,31.0,55.68,65.6401945,0.7369537
s0092,000425,徐工机械,工程机械,6.49,2.76,64.7,6.0219567,0.7065611
s0093,000426,兴业银锡,有色金属,9.11,5.86,9.77,83.1202046,0.8530852
s0094,000428,华天酒店,旅游酒店,4.23,2.08,18.36,13.2063882,0.9569817
s0095,000429,粤高速Ａ,铁路公路,7.67,2.46,10.35,66.0329531,0.9947583
s0096,000430,张家界,旅游酒店,7.59,4.01,16.77,28.0564263,0.9001118
s0097,000488,晨鸣纸业,造纸印刷,4.8,3.4,20.1,8.3832335,1.0998937
s0098,000498,山东路桥,工程建设,6.52,3.5,13.68,29.6660118,0.9273556
s0099,000501,武商集团,商业百货,9.87,9.23,29.12,3.2176973,0.93686
s0100,000503,国新健康,软件开发,12.2,5.9,59.5,11.7537313,0.8691897
s0101,000504,南华生物,医疗服务,11.52,4.17,36.97,22.4085366,0.8065539
s0102,000505,京粮控股,农牧饲渔,7.41,2.35,23.2,24.2685851,1.0012252
s0103,000506,中润资源,贵金属,3.82,1.92,19.46,10.8323831,1.061362
s0104,000507,珠海港,航运港口,5.51,3.0,16.34,18.8155922,0.9638248
s0105,000508,琼民源A,,0.0,None,None,None,None
s0106,000509,华塑控股,光学光电子,3.16,0.92,17.88,13.2075472,0.7396829
s0107,000510,新金路,化学原料,6.39,3.33,11.69,36.6028708,1.024587
s0108,000513,丽珠集团,化学制药,38.77,18.21,99.43,25.3139621,0.6836144
s0109,000514,渝 开 发,房地产开发,3.71,2.92,17.68,5.3523035,0.7523525
s0110,000515,攀渝钛业,,0.0,None,None,None,None
s0111,000516,国际医学,医疗服务,8.46,3.39,38.46,14.4568007,0.8013971
s0112,000517,荣安地产,房地产开发,2.9,1.91,29.0,3.654485,0.9858291
s0113,000518,四环生物,生物制品,2.49,2.48,10.0,0.1329787,1.4142424
s0114,000519,中兵红箭,专用设备,17.59,5.77,37.03,37.8119002,0.9968001
s0115,000520,长航凤凰,航运港口,2.94,2.93,3.95,0.9803922,0.9552436
s0116,000521,长虹美菱,家电行业,7.14,2.68,8.02,83.5205993,0.8102277
s0117,000522,白云山A,,0.0,None,None,None,None
s0118,000523,广州浪奇,食品饮料,3.2,1.97,25.8,5.1615611,0.5739013
s0119,000524,岭南控股,旅游酒店,10.81,4.75,33.4,21.1518325,1.0217716
s0120,000526,学大教育,教育,26.6,5.91,90.0,24.6045903,0.8702605
s0121,000527,美的电器,,0.0,None,None,None,None
s0122,000528,柳    工,工程机械,7.54,5.46,44.23,5.3649729,0.8480656
s0123,000529,广弘控股,食品饮料,6.39,3.93,20.4,14.9362477,1.0593019
s0124,000530,冰山冷热,通用设备,5.48,2.91,23.9,12.2439257,0.868532
s0125,000531,穗恒运Ａ,电力行业,7.0,3.84,18.25,21.9292158,1.1615591
s0126,000532,华金资本,综合行业,11.03,6.22,38.3,14.9937656,1.6330231
s0127,000533,顺钠股份,电网设备,4.08,2.21,15.64,13.9240506,0.9896158
s0128,000534,万泽股份,生物制品,16.19,3.57,20.18,75.9783263,1.0951806
s0129,000536,华映科技,光学光电子,1.77,1.21,33.55,1.7316017,1.0121489
s0130,000537,广宇发展,电力行业,11.54,4.26,29.15,29.2486943,0.980852
s0131,000538,云南白药,中药,52.35,45.58,163.28,5.7519116,0.8336011
s0132,000539,粤电力Ａ,电力行业,7.09,3.36,14.53,33.393017,1.2308453
s0133,000540,中天金融,房地产开发,0.0,0.56,1.87,-42.7480916,0.0
s0134,000541,佛山照明,家电行业,5.61,4.82,6.27,54.4827586,0.69441
s0135,000542,TCL通讯,,0.0,None,None,None,None
s0136,000543,皖能电力,电力行业,6.12,3.33,21.65,15.2292576,1.0014904
s0137,000544,中原环保,公用事业,6.88,5.86,8.86,34.0,0.7715674
s0138,000545,金浦钛业,化学原料,2.79,2.25,7.73,9.8540146,0.9568325
s0139,000546,金圆股份,环保行业,7.96,7.8,17.29,1.6859852,0.6742055
s0140,000547,航天发展,通信设备,9.85,6.46,31.86,13.3464567,1.1213944
s0141,000548,湖南投资,铁路公路,4.54,3.26,21.48,7.025247,1.0550862
s0142,000550,江铃汽车,汽车整车,13.69,9.12,48.93,11.4795278,0.6387256
s0143,000551,创元科技,环保行业,10.87,4.28,20.25,41.2648716,1.8297286
s0144,000552,甘肃能化,煤炭行业,3.19,3.1,4.37,7.0866142,0.8426001
s0145,000553,安道麦A,农药兽药,8.35,8.32,10.71,1.2552301,1.0162292
s0146,000554,泰山石油,石油行业,5.49,3.41,20.35,12.2786305,1.1311484
s0147,000555,神州信息,互联网服务,12.89,8.8,29.45,19.8062954,1.1085634
s0148,000556,PT南洋,,0.0,None,None,None,None
s0149,000557,西部创业,物流行业,5.21,2.59,12.88,25.4616132,0.7823522
